TransactionID,Date,ClientID,Industry,ServiceType,ClientRegion,LeadSource,SalesRep,Revenue,Cost,Profit,Year,Month Name,Month Number,Quarter of Year
0,11/27/2024,CL-1879,Fintech,Digital Marketing,Usa,Google Ads,Tosin,5743,13955,-8212,2024,November,11,Q4
1,9/3/2024,CL-1253,Retail,Digital Marketing,Kenya,Linkedin,Femi,3772,14047,-10275,2024,September,9,Q3
2,5/16/2024,CL-3616,Real Estate,Graphic Design,Nigeria,Linkedin,Femi,10289,5554,4735,2024,May,5,Q2
5,7/25/2025,CL-2105,,Digital Marketing,Nigeria,Cold Email,Zainab,12145,8637,3508,2025,July,7,Q3
7,9/10/2024,CL-4538,,Backend Development,Usa,Instagram,Zainab,13838,8302.8,5535.2,2024,September,9,Q3
8,1/24/2025,CL-2076,Edtech,Digital Marketing,Ghana,Google Ads,Femi,5945,4300,1645,2025,January,1,Q1
9,1/13/2025,CL-2870,,Seo Services,Usa,Google Ads,Ridwan,19557,14577,4980,2025,January,1,Q1
10,4/16/2024,CL-1419,Fintech,Frontend Development,Nigeria,Instagram,Femi,16578,3622,12956,2024,April,4,Q2
12,3/28/2024,CL-3163,Logistics,Frontend Development,Nigeria,Cold Email,Zainab,12227,14079,-1852,2024,March,3,Q1
13,4/3/2024,CL-1913,Real Estate,Front-End Development,Usa,Website,Amaka,17986,3236,14750,2024,April,4,Q2
14,6/14/2025,CL-2410,,Graphic Design,Uk,Linkedin,Amaka,16947,10168.2,6778.8,2025,June,6,Q2
15,4/14/2024,,Logistics,Digital Marketing,Nigeria,Google Ads,,7445,8407,-962,2024,April,4,Q2
16,12/29/2025,CL-2621,,Seo Services,Nigeria,Referral,Amaka,7531,13429,-5898,2025,December,12,Q4
20,5/24/2024,CL-4180,E-Commerce,,Nigeria,Website,Amaka,16315,9789,6526,2024,May,5,Q2
22,9/10/2024,CL-3749,Real Estate,Seo Services,Nigeria,Website,Zainab,18144,14262,3882,2024,September,9,Q3
23,11/6/2024,CL-2631,,Frontend Development,Kenya,Referral,Zainab,6060,2842,3218,2024,November,11,Q4
25,9/30/2025,CL-1743,Edtech,Frontend Development,Usa,Cold Email,Ridwan,10481,13416,-2935,2025,September,9,Q3
27,9/23/2024,CL-4795,Edtech,Frontend Development,Nigeria,Website,Tosin,3544,4832,-1288,2024,September,9,Q3
28,6/14/2024,CL-3753,Healthtech,Backend Development,Uk,Linkedin,Chika,2650,1590,1060,2024,June,6,Q2
29,2/7/2024,CL-2770,,,Usa,Cold Email,Zainab,1604,8925,-7321,2024,February,2,Q1
30,8/8/2024,CL-4603,Edtech,Seo Services,Ghana,Linkedin,Tosin,12229,7130,5099,2024,August,8,Q3
31,11/12/2025,CL-2826,Fintech,Backend Development,Uk,Instagram,Femi,17578,4468,13110,2025,November,11,Q4
32,11/27/2024,CL-3687,Real Estate,Front-End Development,Nigeria,Linkedin,Chika,2128,6342,-4214,2024,November,11,Q4
33,4/1/2024,CL-3167,Healthtech,Seo Services,Uk,,Amaka,5514,3308.4,2205.6,2024,April,4,Q2
34,10/17/2024,CL-4326,,Frontend Development,Nigeria,Website,Tosin,21273,14014,7259,2024,October,10,Q4
35,2/1/2024,CL-3788,Real Estate,Website Optimization,South Africa,Linkedin,Ridwan,21877,13126.2,8750.8,2024,February,2,Q1
36,3/12/2024,CL-4465,Edtech,Front-End Development,Kenya,Website,Zainab,25319,11301,14018,2024,March,3,Q1
37,10/27/2025,CL-1317,Healthtech,Graphic Design,South Africa,Cold Email,Femi,15884,9530.4,6353.6,2025,October,10,Q4
38,8/4/2025,CL-3903,,Backend Development,,,Ridwan,5172,4903,269,2025,August,8,Q3
39,5/1/2024,CL-2840,Edtech,Seo Services,Kenya,Website,Tosin,18792,11275.2,7516.8,2024,May,5,Q2
40,8/18/2025,CL-3880,Logistics,Front-End Development,,,Ridwan,18172,2672,15500,2025,August,8,Q3
42,2/11/2025,CL-3413,E-Commerce,Graphic Design,Usa,Cold Email,,4733,2839.8,1893.2,2025,February,2,Q1
43,2/19/2024,CL-4166,Logistics,Seo Services,Nigeria,Google Ads,Femi,2691,10903,-8212,2024,February,2,Q1
44,7/16/2025,CL-2988,Fintech,,Ghana,Referral,Ridwan,7466,4479.6,2986.4,2025,July,7,Q3
45,2/28/2025,CL-3282,Retail,Digital Marketing,Ghana,Referral,Tosin,10757,12603,-1846,2025,February,2,Q1
46,7/31/2024,CL-1715,Logistics,,Nigeria,Instagram,Amaka,17288,10372.8,6915.2,2024,July,7,Q3
47,1/12/2025,CL-2106,Logistics,Digital Marketing,,Cold Email,Femi,9265,5559,3706,2025,January,1,Q1
48,1/3/2025,CL-2278,Fintech,Frontend Development,Nigeria,Google Ads,Zainab,23503,2017,21486,2025,January,1,Q1
49,4/29/2025,CL-1446,Real Estate,Frontend Development,Ghana,Linkedin,,20040,14026,6014,2025,April,4,Q2
50,12/18/2025,CL-2244,Healthtech,Backend Development,Usa,Linkedin,Tosin,22012,522,21490,2025,December,12,Q4
51,3/13/2024,CL-2886,Edtech,Graphic Design,Kenya,,Femi,18184,6858,11326,2024,March,3,Q1
53,3/10/2025,CL-4264,Edtech,,Nigeria,Website,Ridwan,12931,6038,6893,2025,March,3,Q1
55,5/29/2024,CL-4678,Logistics,Digital Marketing,Nigeria,Referral,Chika,13692,8215.2,5476.8,2024,May,5,Q2
57,3/23/2024,,,Front-End Development,Uk,,Amaka,14768,8860.8,5907.2,2024,March,3,Q1
59,3/5/2024,CL-2128,Edtech,Digital Marketing,Nigeria,Linkedin,,12893,5988,6905,2024,March,3,Q1
61,8/29/2024,CL-2012,Retail,Digital Marketing,Nigeria,,Femi,16098,13316,2782,2024,August,8,Q3
